S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021022505032115,NIFRA,14,52,50,543,27150.00
2,2021022503016438,NMFBS,55,48,26,3325,86450.00
3,2021022505032114,NIFRA,41,57,44,544,23936.00
4,2021022505032113,NIFRA,41,34,60,544,32640.00
5,2021022505032112,NIFRA,41,36,50,544,27200.00
6,2021022505032111,NIFRA,41,33,846,544,460224.00
7,2021022505032110,NIFRA,34,33,50,544,27200.00
8,2021022503016437,GILB,57,45,10,1980,19800.00
9,2021022503016436,HIDCL,34,52,100,328,32800.00
10,2021022501016904,PRVU,32,34,446,465,207390.00
11,2021022505032109,NIFRA,14,50,50,543,27150.00
12,2021022505032108,NIFRA,14,58,50,543,27150.00
13,2021022501016903,SBL,34,14,100,408,40800.00
14,2021022504017871,API,38,6,100,311,31100.00
15,2021022504017870,API,38,20,298,311,92678.00
16,2021022503016435,HIDCL,41,52,49,328,16072.00
17,2021022503016434,HIDCL,41,34,151,327,49377.00
18,2021022503016433,SABSL,51,41,11,1371,15081.00
19,2021022501016902,LBL,13,13,20,298,5960.00
20,2021022501016901,LBL,13,56,30,298,8940.00
